,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI,Significant?
0,Afghanistan,1,0-19,9822000,25,5030000,12,5029988,4792000,13,4791987,0.88,0.40,1.93,ns
1,Afghanistan,2,20-49,14533000,736,7540000,499,7539501,6993000,237,6992763,1.95,1.67,2.28,*
2,Afghanistan,3,50-79,3379000,2772,1679000,1758,1677242,1700000,1014,1698986,1.76,1.62,1.90,*
3,Afghanistan,4,80+,106000,416,46000,305,45695,60000,111,59889,3.58,2.89,4.45,*
4,Albania,1,0-19,696000,0,368000,0,368000,328000,0,328000,,,,ns
5,Albania,2,20-49,1185000,102,615000,58,614942,570000,44,569956,1.22,0.83,1.81,ns
6,Albania,3,50-79,910000,1560,441000,1029,439971,469000,531,468469,2.06,1.86,2.29,*
7,Albania,4,80+,85000,361,39000,233,38767,46000,128,45872,2.15,1.73,2.66,*
8,Argentina,1,0-19,14583000,359,7423000,183,7422817,7160000,176,7159824,1.00,0.82,1.23,ns
9,Argentina,2,20-49,19167000,10408,9543000,6421,9536579,9624000,3987,9620013,1.62,1.56,1.69,*
10,Argentina,3,50-79,10254000,73170,4694000,45693,4648307,5560000,27477,5532523,1.97,1.94,2.00,*
11,Argentina,4,80+,1192000,35490,388000,16454,371546,804000,19036,784964,1.79,1.75,1.83,*
12,Aruba,1,0-19,26000,0,13000,0,13000,13000,0,13000,,,,ns
13,Aruba,2,20-49,42000,9,20000,3,19997,22000,6,21994,0.55,0.14,2.20,ns
14,Aruba,3,50-79,38000,99,18000,56,17944,20000,43,19957,1.45,0.97,2.15,ns
15,Aruba,4,80+,3000,43,1000,24,976,2000,19,1981,2.53,1.39,4.59,*
16,Australia,1,0-19,6439000,15,3302000,8,3301992,3137000,7,3136993,1.09,0.39,2.99,ns
17,Australia,2,20-49,10400000,232,5224000,144,5223856,5176000,88,5175912,1.62,1.24,2.11,*
18,Australia,3,50-79,7605000,2887,3725000,1874,3723126,3880000,1013,3878987,1.93,1.79,2.08,*
19,Australia,4,80+,1055000,5305,447000,2785,444215,608000,2520,605480,1.50,1.42,1.59,*
20,Austria,1,0-19,2259000,22,1166000,18,1165982,1093000,4,1092996,4.22,1.43,12.46,*
21,Austria,2,20-49,2416000,143,1227000,91,1226909,1189000,52,1188948,1.70,1.21,2.38,*
22,Austria,3,50-79,2279000,4340,1105000,2899,1102101,1174000,1441,1172559,2.14,2.01,2.28,*
23,Austria,4,80+,228000,8465,76000,3446,72554,152000,5019,146981,1.37,1.32,1.43,*
24,Bahamas,1,0-19,118000,10,60000,5,59995,58000,5,57995,0.97,0.28,3.34,ns
25,Bahamas,2,20-49,179000,194,88000,98,87902,91000,96,90904,1.06,0.80,1.40,ns
26,Bahamas,3,50-79,91000,590,42000,303,41697,49000,287,48713,1.23,1.05,1.45,*
27,Bahamas,4,80+,5000,125,2000,56,1944,3000,69,2931,1.22,0.86,1.72,ns
28,Bahrain,1,0-19,401000,3,209000,1,208999,192000,2,191998,0.46,0.04,5.07,ns
29,Bahrain,2,20-49,1070000,297,754000,209,753791,316000,88,315912,1.00,0.78,1.28,ns
30,Bahrain,3,50-79,224000,934,136000,585,135415,88000,349,87651,1.08,0.95,1.24,ns
31,Bahrain,4,80+,6000,211,3000,125,2875,3000,86,2914,1.45,1.11,1.90,*
32,Bangladesh,1,0-19,75036000,10989,38372000,5994,38366006,36664000,4995,36659005,1.15,1.10,1.19,*
33,Bangladesh,2,20-49,51895000,87905,25494000,50945,25443055,26401000,36960,26364040,1.43,1.41,1.45,*
34,Bangladesh,3,50-79,17509000,563392,8952000,404563,8547437,8557000,158829,8398171,2.43,2.42,2.45,*
35,Bangladesh,4,80+,694000,49946,301000,35961,265039,393000,13985,379015,3.36,3.29,3.42,*
36,Barbados,1,0-19,68000,0,35000,0,35000,33000,0,33000,,,,ns
37,Barbados,2,20-49,114000,1,56000,0,56000,58000,1,57999,0.00,N/A,N/A,*
38,Barbados,3,50-79,93000,31,43000,15,42985,50000,16,49984,1.09,0.54,2.20,ns
39,Barbados,4,80+,13000,16,5000,6,4994,8000,10,7990,0.96,0.35,2.64,ns
40,Belgium,1,0-19,3272000,16,1684000,7,1683993,1588000,9,1587991,0.73,0.27,1.97,ns
41,Belgium,2,20-49,2984000,193,1508000,115,1507885,1476000,78,1475922,1.44,1.08,1.92,*
42,Belgium,3,50-79,1190000,4584,567000,2988,564012,623000,1596,621404,2.06,1.94,2.19,*
43,Belgium,4,80+,338000,15032,113000,6419,106581,225000,8613,216387,1.48,1.44,1.53,*
44,Bosnia and Herzegovina,1,0-19,681000,6,349000,2,348998,332000,4,331996,0.48,0.09,2.60,ns
45,Bosnia and Herzegovina,2,20-49,869000,109,445000,63,444937,424000,46,423954,1.30,0.89,1.91,ns
46,Bosnia and Herzegovina,3,50-79,954000,3006,456000,1899,454101,498000,1107,496893,1.87,1.74,2.02,*
47,Bosnia and Herzegovina,4,80+,105000,2427,39000,1297,37703,66000,1130,64870,1.94,1.80,2.10,*
48,Brazil,1,0-19,60237000,1749,30746000,925,30745075,29491000,824,29490176,1.08,0.98,1.18,ns
49,Brazil,2,20-49,98045000,35266,48813000,21257,48791743,49232000,14009,49217991,1.53,1.50,1.56,*
50,Brazil,3,50-79,50118000,179172,23328000,107006,23220994,26790000,72166,26717834,1.70,1.69,1.72,*
51,Brazil,4,80+,4159000,71865,1549000,37348,1511652,2610000,34517,2575483,1.82,1.80,1.85,*
52,Brunei Darussalam,1,0-19,130000,1,67000,0,67000,63000,1,62999,0.00,N/A,N/A,*
53,Brunei Darussalam,2,20-49,215000,20,113000,12,112988,102000,8,101992,1.35,0.55,3.31,ns
54,Brunei Darussalam,3,50-79,89000,48,46000,31,45969,43000,17,42983,1.70,0.94,3.08,ns
55,Brunei Darussalam,4,80+,4000,24,2000,12,1988,2000,12,1988,1.00,0.45,2.22,ns
56,Cabo Verde,1,0-19,153000,1,78000,1,77999,75000,0,75000,inf,,inf,ns
57,Cabo Verde,2,20-49,257000,7,134000,4,133996,123000,3,122997,1.22,0.27,5.47,ns
58,Cabo Verde,3,50-79,80000,55,35000,37,34963,45000,18,44982,2.64,1.50,4.64,*
59,Cabo Verde,4,80+,6000,49,2000,23,1977,4000,26,3974,1.77,1.01,3.09,*
60,Cambodia,1,0-19,6588000,0,3350000,0,3350000,3238000,0,3238000,,,,ns
61,Cambodia,2,20-49,7337000,37,3606000,27,3605973,3731000,10,3730990,2.79,1.35,5.77,*
62,Cambodia,3,50-79,2468000,62,1057000,29,1056971,1411000,33,1410967,1.17,0.71,1.93,ns
63,Cambodia,4,80+,94000,6,35000,3,34997,59000,3,58997,1.69,0.34,8.35,ns
64,Cameroon,1,0-19,14023000,4,7069000,2,7068998,6954000,2,6953998,0.98,0.14,6.98,ns
65,Cameroon,2,20-49,10093000,61,5052000,40,5051960,5041000,21,5040979,1.90,1.12,3.22,*
66,Cameroon,3,50-79,2356000,25,1127000,15,1126985,1229000,10,1228990,1.64,0.73,3.64,ns
67,Cameroon,4,80+,75000,1,30000,1,29999,45000,0,45000,inf,,inf,ns
68,Canada,1,0-19,7942000,51,4064000,23,4063977,3878000,28,3877972,0.78,0.45,1.36,ns
69,Canada,2,20-49,15223000,1132,7650000,710,7649290,7573000,422,7572578,1.67,1.48,1.88,*
70,Canada,3,50-79,12915000,15304,6356000,9451,6346549,6559000,5853,6553147,1.67,1.61,1.72,*
71,Canada,4,80+,0,0,0,0,0,0,0,0,,,,ns
72,Chad,1,0-19,10744000,4,5392000,1,5391999,5352000,3,5351997,0.33,0.03,3.18,ns
73,Chad,2,20-49,3486000,14,1746000,9,1745991,1740000,5,1739995,1.79,0.60,5.35,ns
74,Chad,3,50-79,0,0,0,0,0,0,0,0,,,,ns
75,Chad,4,80+,0,0,0,0,0,0,0,0,,,,ns
76,Chile,1,0-19,4922000,132,2504000,61,2503939,2418000,71,2417929,0.83,0.59,1.17,ns
77,Chile,2,20-49,8520000,3116,4297000,1983,4295017,4223000,1133,4221867,1.72,1.60,1.85,*
78,Chile,3,50-79,5136000,27283,2428000,16560,2411440,2708000,10723,2697277,1.72,1.68,1.76,*
79,Chile,4,80+,538000,17721,195000,8307,186693,343000,9414,333586,1.55,1.51,1.60,*
80,chile,1,0-19,0,0,0,0,0,0,0,0,,,,ns
81,chile,2,20-49,0,0,0,0,0,0,0,0,,,,ns
82,chile,3,50-79,0,0,0,0,0,0,0,0,,,,ns
83,chile,4,80+,0,0,0,0,0,0,0,0,,,,ns
84,Colombia,1,0-19,15535000,408,7939000,228,7938772,7596000,180,7595820,1.21,1.00,1.47,ns
85,Colombia,2,20-49,23108000,16407,11434000,10888,11423112,11674000,5519,11668481,2.01,1.95,2.08,*
86,Colombia,3,50-79,11296000,86686,5224000,53342,5170658,6072000,33344,6038656,1.86,1.83,1.88,*
87,Colombia,4,80+,945000,36393,388000,20556,367444,557000,15837,541163,1.86,1.83,1.90,*
88,Costa Rica,1,0-19,1426000,48,729000,29,728971,697000,19,696981,1.46,0.82,2.60,ns
89,Costa Rica,2,20-49,2301000,1127,1160000,715,1159285,1141000,412,1140588,1.71,1.51,1.93,*
90,Costa Rica,3,50-79,1258000,4798,610000,2926,607074,648000,1872,646128,1.66,1.57,1.76,*
91,Costa Rica,4,80+,113000,2095,48000,1222,46778,65000,873,64127,1.90,1.74,2.07,*
92,Croatia,1,0-19,794000,5,408000,2,407998,386000,3,385997,0.63,0.11,3.77,ns
93,Croatia,2,20-49,1568000,75,797000,43,796957,771000,32,770968,1.30,0.82,2.05,ns
94,Croatia,3,50-79,1508000,2398,701000,1507,699493,807000,891,806109,1.95,1.79,2.12,*
95,Croatia,4,80+,234000,2371,73000,1061,71939,161000,1310,159690,1.79,1.65,1.94,*
96,Cuba,1,0-19,2461000,4,1272000,2,1271998,1189000,2,1188998,0.93,0.13,6.64,ns
