,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
0,Afghanistan,1,0-30,16858000,132,8658000,78.0,8657922.0,8200000,54.0,8199946.0,1.3680347013680347,0.9669591423059841,1.9354684828605773
1,Afghanistan,2,30+,10982000,3817,5637000,2496.0,5634504.0,5345000,1321.0,5343679.0,1.791601585555156,1.6760387307187952,1.915132498153644
2,Albania,1,0-30,1168000,9,614000,2.0,613998.0,554000,7.0,553993.0,0.2577943229409027,0.053552911415995365,1.240976656232896
3,Albania,2,30+,1708000,2014,849000,1318.0,847682.0,859000,696.0,858304.0,1.9159829684686516,1.7479463103933695,2.1001736229734664
4,Argentina,1,0-30,21581000,1233,10961000,631.0,10960369.0,10620000,602.0,10619398.0,1.0155637883756392,0.9082643086707496,1.1355392900655714
5,Argentina,2,30+,23615000,118194,11087000,68120.0,11018880.0,12528000,50074.0,12477926.0,1.5371988520757656,1.519608460226014,1.5549928634061443
6,Aruba,2,30+,67000,151,31000,83.0,30917.0,36000,68.0,35932.0,1.417457305502846,1.029047635824034,1.9524705591636546
7,Australia,1,0-30,9815000,40,5023000,22.0,5022978.0,4792000,18.0,4791982.0,1.166014112858628,0.6254171306724836,2.1738913833773426
8,Australia,2,30+,15684000,8399,7675000,4789.0,7670211.0,8009000,3610.0,8005390.0,1.3843233508080162,1.325807631170485,1.4454217146875898
9,Bahamas,1,0-30,186000,26,94000,14.0,93986.0,92000,12.0,91988.0,1.1418439716312059,0.5281569310392588,2.468598969221161
10,Bahamas,2,30+,207000,893,98000,448.0,97552.0,109000,445.0,108555.0,1.1197431781701446,0.982362271825934,1.2763364606094552
11,Bahrain,1,0-30,707000,10,408000,3.0,407997.0,299000,7.0,298993.0,0.31407563025210083,0.08121610392872511,1.214580566494835
12,Bahrain,2,30+,994000,1435,694000,917.0,693083.0,300000,518.0,299482.0,0.7652465145260535,0.6871511068032121,0.8522175431232762
13,Barbados,2,30+,183000,48,85000,21.0,84979.0,98000,27.0,97973.0,0.8967320261437908,0.5070222997331859,1.585982169098106
14,Brazil,1,0-30,94342000,5105,47966000,2720.0,47963280.0,46376000,2385.0,46373615.0,1.1026566599279661,1.0436678541711746,1.1649795524736775
15,Brazil,2,30+,118217000,282947,56470000,163816.0,56306184.0,61747000,119131.0,61627869.0,1.503590608120187,1.4924239914286683,1.5148407756853526
16,Brunei Darussalam,1,0-30,200000,3,104000,1.0,103999.0,96000,2.0,95998.0,0.46153846153846156,0.041849567897571056,5.090082459170468
17,Brunei Darussalam,2,30+,238000,90,124000,54.0,123946.0,114000,36.0,113964.0,1.3790322580645162,0.9045966080373112,2.1022961526560127
18,Cabo Verde,2,30+,243000,108,120000,61.0,119939.0,123000,47.0,122953.0,1.33031914893617,0.9094548769583579,1.9459448542902136
19,Cambodia,1,0-30,9690000,5,4926000,3.0,4925997.0,4764000,2.0,4763998.0,1.4506699147381243,0.24239149355332879,8.682001049939142
20,Cambodia,2,30+,6797000,100,3122000,56.0,3121944.0,3675000,44.0,3674956.0,1.4981655116184265,1.009435230659616,2.223520471676258
21,Cameroon,1,0-30,18575000,23,9350000,16.0,9349984.0,9225000,7.0,9224993.0,2.2551566080977845,0.927761538254925,5.481722530353136
22,Cameroon,2,30+,7972000,68,3928000,42.0,3927958.0,4044000,26.0,4043974.0,1.6630894563684788,1.019770111568949,2.712245150653247
23,Canada,1,0-30,13039000,183,6662000,104.0,6661896.0,6377000,79.0,6376921.0,1.2601377926573918,0.9405465788425191,1.688323887624626
24,Canada,2,30+,23041000,16304,11408000,10080.0,11397920.0,11633000,6224.0,11626776.0,1.6514794110118007,1.6001311897078765,1.7044753971040347
25,Chile,1,0-30,7918000,465,4025000,247.0,4024753.0,3893000,218.0,3892782.0,1.0958698501339108,0.913395371319572,1.3147983514494375
26,Chile,2,30+,11198000,47787,5399000,26664.0,5372336.0,5799000,21123.0,5777877.0,1.355843248599825,1.3316353845118916,1.3804911886203417
27,Colombia,1,0-30,24382000,2028,12421000,1176.0,12419824.0,11961000,852.0,11960148.0,1.3291642617965258,1.2169827709922094,1.4516866441722311
28,Colombia,2,30+,26502000,137866,12564000,83838.0,12480162.0,13938000,54028.0,13883972.0,1.721450545753311,1.7029822510214359,1.7401191232010507
29,Costa Rica,1,0-30,2251000,159,1149000,95.0,1148905.0,1102000,64.0,1101936.0,1.4236564403829417,1.036946640068603,1.9545824075477385
30,Costa Rica,2,30+,2847000,7909,1398000,4797.0,1393203.0,1449000,3112.0,1445888.0,1.5976856857574722,1.5273006920248526,1.6713143415722274
31,Croatia,1,0-30,1266000,12,650000,5.0,649995.0,616000,7.0,615993.0,0.676923076923077,0.21484233834451025,2.1328424164524775
32,Croatia,2,30+,2838000,4837,1329000,2608.0,1326392.0,1509000,2229.0,1506771.0,1.3285006688966596,1.2555349779629479,1.4057067769807339
33,Cuba,1,0-30,3898000,10,2021000,4.0,2020996.0,1877000,6.0,1876994.0,0.6191654296552861,0.17472258549181097,2.194140088993721
34,Cuba,2,30+,7431000,1896,3606000,1086.0,3604914.0,3825000,810.0,3824190.0,1.422166759105195,1.2984846211179197,1.557629761500347
35,Curaçao,1,0-30,60000,3,31000,2.0,30998.0,29000,1.0,28999.0,1.8709677419354838,0.16965458913876677,20.633218995920924
36,Curaçao,2,30+,101000,260,44000,142.0,43858.0,57000,118.0,56882.0,1.5589368258859784,1.2216111770717875,1.9894088010301783
37,Cyprus,1,0-30,465000,6,243000,2.0,242998.0,222000,4.0,221996.0,0.45679012345679015,0.08366527356505145,2.493952484664194
38,Cyprus,2,30+,739000,1046,360000,643.0,359357.0,379000,403.0,378597.0,1.6797422111938243,1.4831924130060017,1.902338409584961
39,Czech Republic,1,0-30,3280000,28,1681000,10.0,1680990.0,1599000,18.0,1598982.0,0.5284552845528456,0.24394109948562223,1.14480498923999
40,Czech Republic,2,30+,7430000,41239,3591000,23285.0,3567715.0,3839000,17954.0,3821046.0,1.3864931504308158,1.359836184981082,1.4136726742701826
41,Denmark,1,0-30,2058000,31,1054000,20.0,1053980.0,1004000,11.0,1003989.0,1.7319303087804039,0.8298582295960866,3.614572329941416
42,Denmark,2,30+,3733000,6386,1824000,3489.0,1820511.0,1909000,2897.0,1906103.0,1.2604730619697326,1.1999298345970908,1.3240710366075978
43,Dominican Republic,1,0-30,5788000,148,2942000,66.0,2941934.0,2846000,82.0,2845918.0,0.778614183150669,0.5630667049339714,1.0766753581611168
44,Dominican Republic,2,30+,5060000,4133,2477000,2579.0,2474421.0,2583000,1554.0,2581446.0,1.7306080808301236,1.6250773336010915,1.8429918795296598
45,Ecuador,1,0-30,9431000,295,4802000,160.0,4801840.0,4629000,135.0,4628865.0,1.1424869267434865,0.9086055053815139,1.43657106417345
46,Ecuador,2,30+,8211000,25373,4020000,16307.0,4003693.0,4191000,9066.0,4181934.0,1.875210232754164,1.8277397510687834,1.9239136288247158
47,England,1,0-30,20573000,535,10555000,306.0,10554694.0,10018000,229.0,10017771.0,1.26826128058682,1.0686430208329447,1.505167436158428
48,England,2,30+,35974000,155532,17426000,85933.0,17340067.0,18548000,69599.0,18478401.0,1.3141845328387536,1.3011424937193024,1.3273572992115334
49,Estonia,2,30+,900000,2391,409000,1185.0,407815.0,491000,1206.0,489794.0,1.1795849602841537,1.0888258178200843,1.277909336604732
50,Eswatini,1,0-30,775000,16,393000,11.0,392989.0,382000,5.0,381995.0,2.1384223918575067,0.742993749061371,6.154628261374329
51,Eswatini,2,30+,372000,531,170000,269.0,169731.0,202000,262.0,201738.0,1.2199820386169733,1.029249805442165,1.4460592235998813
