,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
0,Afghanistan,1,0-19,9822000.0,25.0,5030000.0,12.0,5029988.0,4792000.0,13.0,4791987.0,0.87940051995718,0.40126156317600686,1.927284707710076
1,Afghanistan,2,20-49,14533000.0,736.0,7540000.0,499.0,7539501.0,6993000.0,237.0,6992763.0,1.9527398180169895,1.6729944652224062,2.279262051451021
2,Afghanistan,3,50-79,3379000.0,2772.0,1679000.0,1758.0,1677242.0,1700000.0,1014.0,1698986.0,1.7554123157275217,1.6248947124263908,1.896413579687523
3,Afghanistan,4,80+,106000.0,416.0,46000.0,305.0,45695.0,60000.0,111.0,59889.0,3.5840188014101058,2.8850977019009227,4.452255034690068
4,Albania,1,0-19,696000.0,0.0,368000.0,0.0,368000.0,328000.0,0.0,328000.0,,,
5,Albania,2,20-49,1185000.0,102.0,615000.0,58.0,614942.0,570000.0,44.0,569956.0,1.221729490022173,0.8256681642203709,1.8077758250485934
6,Albania,3,50-79,910000.0,1560.0,441000.0,1029.0,439971.0,469000.0,531.0,468469.0,2.060891399874451,1.8561253806703117,2.2882470151572605
7,Albania,4,80+,85000.0,361.0,39000.0,233.0,38767.0,46000.0,128.0,45872.0,2.1470352564102564,1.73129845884777,2.6626029548577
8,Argentina,1,0-19,14583000.0,359.0,7423000.0,183.0,7422817.0,7160000.0,176.0,7159824.0,1.0029331439138796,0.8154643038336254,1.233499598243851
9,Argentina,2,20-49,19167000.0,10408.0,9543000.0,6421.0,9536579.0,9624000.0,3987.0,9620013.0,1.6241536959910656,1.561235000045015,1.6896080526796933
10,Argentina,3,50-79,10254000.0,73170.0,4694000.0,45693.0,4648307.0,5560000.0,27477.0,5532523.0,1.9697543372022548,1.940598725208062,1.999347983963612
11,Argentina,4,80+,1192000.0,35490.0,388000.0,16454.0,371546.0,804000.0,19036.0,784964.0,1.791101179967203,1.7547422930003627,1.8282134360565296
12,Aruba,1,0-19,26000.0,0.0,13000.0,0.0,13000.0,13000.0,0.0,13000.0,,,
13,Aruba,2,20-49,42000.0,9.0,20000.0,3.0,19997.0,22000.0,6.0,21994.0,0.5499999999999999,0.13756840532436662,2.1989060590383978
14,Aruba,3,50-79,38000.0,99.0,18000.0,56.0,17944.0,20000.0,43.0,19957.0,1.4470284237726097,0.9729783179374142,2.1520430831846453
15,Aruba,4,80+,3000.0,43.0,1000.0,24.0,976.0,2000.0,19.0,1981.0,2.5263157894736845,1.3905384749018221,4.589784161559903
16,Australia,1,0-19,6439000.0,15.0,3302000.0,8.0,3301992.0,3137000.0,7.0,3136993.0,1.0857488967725188,0.39371608777773487,2.9941643317055417
17,Australia,2,20-49,10400000.0,232.0,5224000.0,144.0,5223856.0,5176000.0,88.0,5175912.0,1.6213281358763747,1.24364429473455,2.1137112398730094
18,Australia,3,50-79,7605000.0,2887.0,3725000.0,1874.0,3723126.0,3880000.0,1013.0,3878987.0,1.9269284535932207,1.7851561553045205,2.0799599263257567
19,Australia,4,80+,1055000.0,5305.0,447000.0,2785.0,444215.0,608000.0,2520.0,605480.0,1.5032136642874896,1.4245508506793867,1.5862201896288675
20,Bahamas,1,0-19,118000.0,10.0,60000.0,5.0,59995.0,58000.0,5.0,57995.0,0.9666666666666667,0.27986110504842004,3.3389578887097295
21,Bahamas,2,20-49,179000.0,194.0,88000.0,98.0,87902.0,91000.0,96.0,90904.0,1.05563446969697,0.7967932947793235,1.398561133626297
22,Bahamas,3,50-79,91000.0,590.0,42000.0,303.0,41697.0,49000.0,287.0,48713.0,1.2317073170731707,1.0486304675476492,1.4467469350566546
23,Bahamas,4,80+,5000.0,125.0,2000.0,56.0,1944.0,3000.0,69.0,2931.0,1.2173913043478262,0.8596356508671872,1.7240345795415077
24,Bahrain,1,0-19,401000.0,3.0,209000.0,1.0,208999.0,192000.0,2.0,191998.0,0.45933014354066987,0.041648996165517656,5.065768690477393
25,Bahrain,2,20-49,1070000.0,297.0,754000.0,209.0,753791.0,316000.0,88.0,315912.0,0.9953580901856764,0.7759345059621886,1.2768316398940454
26,Bahrain,3,50-79,224000.0,934.0,136000.0,585.0,135415.0,88000.0,349.0,87651.0,1.0846114950278105,0.9502076596448604,1.2380263231998512
27,Bahrain,4,80+,6000.0,211.0,3000.0,125.0,2875.0,3000.0,86.0,2914.0,1.4534883720930232,1.1096834502394781,1.9038118008822293
28,Barbados,1,0-19,68000.0,0.0,35000.0,0.0,35000.0,33000.0,0.0,33000.0,,,
29,Barbados,2,20-49,114000.0,1.0,56000.0,0.0,56000.0,58000.0,1.0,57999.0,0.0,N/A,N/A
30,Barbados,3,50-79,93000.0,31.0,43000.0,15.0,42985.0,50000.0,16.0,49984.0,1.0901162790697674,0.5390122102017347,2.2046875365738985
31,Barbados,4,80+,13000.0,16.0,5000.0,6.0,4994.0,8000.0,10.0,7990.0,0.9599999999999999,0.3491182176225554,2.6397934953837776
32,Brazil,1,0-19,60237000.0,1749.0,30746000.0,925.0,30745075.0,29491000.0,824.0,29490176.0,1.0767512815622398,0.9802578861603127,1.1827431727045723
33,Brazil,2,20-49,98045000.0,35266.0,48813000.0,21257.0,48791743.0,49232000.0,14009.0,49217991.0,1.5304065520964154,1.4981149932336852,1.5633941488324028
34,Brazil,3,50-79,50118000.0,179172.0,23328000.0,107006.0,23220994.0,26790000.0,72166.0,26717834.0,1.7028276870005585,1.6868543856334837,1.718952244076921
35,Brazil,4,80+,4159000.0,71865.0,1549000.0,37348.0,1511652.0,2610000.0,34517.0,2575483.0,1.823154178591427,1.7969120577035216,1.8497795396639274
36,Brunei Darussalam,1,0-19,130000.0,1.0,67000.0,0.0,67000.0,63000.0,1.0,62999.0,0.0,N/A,N/A
