country,date,age_group,age_begin,age_end,deathsF,deathsM,populationin1000sF,Num female infection,populationin1000sM,Num male infection,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Country begin,Bin 0-19,Bin 20-49,Bin 50-79,Bin 80+,Total
Afghanistan,11/16/2021,19-Oct,10,19,13,12,4792,4792000,5030,5030000,9822000,25,48.79,51.21,52,48,Afghanistan,1,0,0,0,0
Afghanistan,11/16/2021,20-29,20,29,41,66,3408,3408000,3628,3628000,7036000,107,48.44,51.56,38.32,61.68,,0,1,0,0,0
Afghanistan,11/16/2021,30-39,30,39,55,142,2167,2167000,2367,2367000,4534000,197,47.79,52.21,27.92,72.08,,0,1,0,0,0
Afghanistan,11/16/2021,40-49,40,49,141,291,1418,1418000,1545,1545000,2963000,432,47.86,52.14,32.64,67.36,,0,1,0,0,0
Afghanistan,11/16/2021,50-59,50,59,318,472,900,900000,941,941000,1841000,790,48.89,51.11,40.25,59.75,,0,0,1,0,0
Afghanistan,11/16/2021,60-69,60,69,436,746,537,537000,521,521000,1058000,1182,50.76,49.24,36.89,63.11,,0,0,1,0,0
Afghanistan,11/16/2021,70-79,70,79,260,540,263,263000,217,217000,480000,800,54.79,45.21,32.5,67.5,,0,0,1,0,0
Afghanistan,11/16/2021,80+,80,999,111,305,60,60000,46,46000,106000,416,56.6,43.4,26.68,73.32,,0,0,0,1,0
Afghanistan,,,,,1375,2574,13545,13545000,14295,14295000,27840000,3949,48.65,51.35,34.82,65.18,,0,0,0,0,1
Albania,3/21/2022,0-4,0,4,0,0,80,80000,87,87000,167000,0,47.9,52.1,0,0,Albania,1,0,0,0,0
Albania,3/21/2022,9-May,5,9,0,0,80,80000,88,88000,168000,0,47.62,52.38,0,0,,1,0,0,0,0
Albania,3/21/2022,14-Oct,10,14,0,0,75,75000,87,87000,162000,0,46.3,53.7,0,0,,1,0,0,0,0
Albania,3/21/2022,15-19,15,19,0,0,93,93000,106,106000,199000,0,46.73,53.27,0,0,,1,0,0,0,0
Albania,3/21/2022,20-24,20,24,3,2,111,111000,117,117000,228000,5,48.68,51.32,60,40,,0,1,0,0,0
Albania,3/21/2022,25-29,25,29,4,0,115,115000,129,129000,244000,4,47.13,52.87,100,0,,0,1,0,0,0
Albania,3/21/2022,30-39,30,39,11,12,177,177000,213,213000,390000,23,45.38,54.62,47.83,52.17,,0,1,0,0,0
Albania,3/21/2022,40-49,40,49,26,44,167,167000,156,156000,323000,70,51.7,48.3,37.14,62.86,,0,1,0,0,0
Albania,3/21/2022,50-59,50,59,84,149,199,199000,187,187000,386000,233,51.55,48.45,36.05,63.95,,0,0,1,0,0
Albania,3/21/2022,60-64,60,64,84,148,95,95000,91,91000,186000,232,51.08,48.92,36.21,63.79,,0,0,1,0,0
Albania,3/21/2022,65-69,65,69,114,227,74,74000,70,70000,144000,341,51.39,48.61,33.43,66.57,,0,0,1,0,0
Albania,3/21/2022,70-74,70,74,124,270,56,56000,52,52000,108000,394,51.85,48.15,31.47,68.53,,0,0,1,0,0
Albania,3/21/2022,75-79,75,79,125,235,45,45000,41,41000,86000,360,52.33,47.67,34.72,65.28,,0,0,1,0,0
Albania,3/21/2022,80+,80,999,128,233,46,46000,39,39000,85000,361,54.12,45.88,35.46,64.54,,0,0,0,1,0
Albania,,,,,703,1320,1413,1413000,1463,1463000,2876000,2023,49.13,50.87,34.75,65.25,,0,0,0,0,1
Argentina,3/28/2022,0-4,0,4,47,60,1833,1833000,1903,1903000,3736000,107,49.06,50.94,43.93,56.07,Argentina,1,0,0,0,0
Argentina,3/28/2022,9-May,5,9,27,21,1821,1821000,1889,1889000,3710000,48,49.08,50.92,56.25,43.75,,1,0,0,0,0
Argentina,3/28/2022,14-Oct,10,14,18,25,1766,1766000,1831,1831000,3597000,43,49.1,50.9,41.86,58.14,,1,0,0,0,0
Argentina,3/28/2022,15-19,15,19,84,77,1740,1740000,1800,1800000,3540000,161,49.15,50.85,52.17,47.83,,1,0,0,0,0
Argentina,3/28/2022,20-24,20,24,143,141,1715,1715000,1763,1763000,3478000,284,49.31,50.69,50.35,49.65,,0,1,0,0,0
Argentina,3/28/2022,25-29,25,29,283,307,1745,1745000,1775,1775000,3520000,590,49.57,50.43,47.97,52.03,,0,1,0,0,0
Argentina,3/28/2022,30-34,30,34,411,573,1660,1660000,1659,1659000,3319000,984,50.02,49.98,41.77,58.23,,0,1,0,0,0
Argentina,3/28/2022,35-39,35,39,643,991,1572,1572000,1550,1550000,3122000,1634,50.35,49.65,39.35,60.65,,0,1,0,0,0
Argentina,3/28/2022,40-44,40,44,1051,1703,1572,1572000,1518,1518000,3090000,2754,50.87,49.13,38.16,61.84,,0,1,0,0,0
Argentina,3/28/2022,45-49,45,49,1456,2706,1360,1360000,1278,1278000,2638000,4162,51.55,48.45,34.98,65.02,,0,1,0,0,0
Argentina,3/28/2022,50-54,50,54,2098,3961,1198,1198000,1103,1103000,2301000,6059,52.06,47.94,34.63,65.37,,0,0,1,0,0
Argentina,3/28/2022,55-59,55,59,3078,5617,1120,1120000,1003,1003000,2123000,8695,52.76,47.24,35.4,64.6,,0,0,1,0,0
Argentina,3/28/2022,60-64,60,64,4085,7503,1007,1007000,877,877000,1884000,11588,53.45,46.55,35.25,64.75,,0,0,1,0,0
Argentina,3/28/2022,65-69,65,69,5496,9443,899,899000,746,746000,1645000,14939,54.65,45.35,36.79,63.21,,0,0,1,0,0
Argentina,3/28/2022,70-74,70,74,6048,9772,758,758000,579,579000,1337000,15820,56.69,43.31,38.23,61.77,,0,0,1,0,0
Argentina,3/28/2022,75-79,75,79,6672,9397,578,578000,386,386000,964000,16069,59.96,40.04,41.52,58.48,,0,0,1,0,0
Argentina,3/28/2022,80+,80,999,19036,16454,804,804000,388,388000,1192000,35490,67.45,32.55,53.64,46.36,,0,0,0,1,0
Argentina,,,,,50676,68751,23148,23148000,22048,22048000,45196000,119229,51.22,48.78,42.5,57.66,,0,0,0,0,1
Aruba,10/11/2021,0-4,0,4,0,0,3,3000,3,3000,6000,0,50,50,0,0,Aruba,1,0,0,0,0
Aruba,10/11/2021,9-May,5,9,0,0,3,3000,3,3000,6000,0,50,50,0,0,,1,0,0,0,0
Aruba,10/11/2021,14-Oct,10,14,0,0,3,3000,3,3000,6000,0,50,50,0,0,,1,0,0,0,0
Aruba,10/11/2021,15-19,15,19,0,0,4,4000,4,4000,8000,0,50,50,0,0,,1,0,0,0,0
Aruba,10/11/2021,20-24,20,24,0,0,4,4000,4,4000,8000,0,50,50,0,0,,0,1,0,0,0
Aruba,10/11/2021,25-29,25,29,0,0,4,4000,4,4000,8000,0,50,50,0,0,,0,1,0,0,0
Aruba,10/11/2021,30-34,30,34,0,0,3,3000,3,3000,6000,0,50,50,0,0,,0,1,0,0,0
Aruba,10/11/2021,35-39,35,39,0,1,3,3000,3,3000,6000,1,50,50,0,100,,0,1,0,0,0
Aruba,10/11/2021,40-44,40,44,1,0,4,4000,3,3000,7000,1,57.14,42.86,100,0,,0,1,0,0,0
Aruba,10/11/2021,45-49,45,49,5,2,4,4000,3,3000,7000,7,57.14,42.86,71.43,28.57,,0,1,0,0,0
Aruba,10/11/2021,50-54,50,54,2,2,4,4000,4,4000,8000,4,50,50,50,50,,0,0,1,0,0
Aruba,10/11/2021,55-59,55,59,4,5,5,5000,4,4000,9000,9,55.56,44.44,44.44,55.56,,0,0,1,0,0
Aruba,10/11/2021,60-64,60,64,5,10,4,4000,4,4000,8000,15,50,50,33.33,66.67,,0,0,1,0,0
Aruba,10/11/2021,65-69,65,69,9,13,3,3000,3,3000,6000,22,50,50,40.91,59.09,,0,0,1,0,0
Aruba,10/11/2021,70-74,70,74,11,14,2,2000,2,2000,4000,25,50,50,44,56,,0,0,1,0,0
Aruba,10/11/2021,75-79,75,79,12,12,2,2000,1,1000,3000,24,66.67,33.33,50,50,,0,0,1,0,0
Aruba,10/11/2021,80,80,999,19,24,2,2000,1,1000,3000,43,66.67,33.33,44.19,55.81,,0,0,0,1,0
Aruba,,,,,68,83,57,57000,52,52000,109000,151,52.29,47.71,45.03,54.97,,0,0,0,0,1
Australia,6/15/2022,0-9,0,9,4,4,1610,1610000,1699,1699000,3309000,8,48.66,51.34,50,50,Australia,1,0,0,0,0
Australia,6/15/2022,19-Oct,10,19,3,4,1527,1527000,1603,1603000,3130000,7,48.79,51.21,42.86,57.14,,1,0,0,0,0
Australia,6/15/2022,20-29,20,29,11,14,1655,1655000,1721,1721000,3376000,25,49.02,50.98,44,56,,0,1,0,0,0
Australia,6/15/2022,30-39,30,39,28,46,1857,1857000,1861,1861000,3718000,74,49.95,50.05,37.84,62.16,,0,1,0,0,0
Australia,6/15/2022,40-49,40,49,49,84,1664,1664000,1642,1642000,3306000,133,50.33,49.67,36.84,63.16,,0,1,0,0,0
Australia,6/15/2022,50-59,50,59,132,220,1571,1571000,1536,1536000,3107000,352,50.56,49.44,37.5,62.5,,0,0,1,0,0
Australia,6/15/2022,60-69,60,69,280,510,1356,1356000,1296,1296000,2652000,790,51.13,48.87,35.44,64.56,,0,0,1,0,0
Australia,6/15/2022,70-79,70,79,601,1144,953,953000,893,893000,1846000,1745,51.63,48.37,34.44,65.56,,0,0,1,0,0
Australia,6/15/2022,80-89,80,89,1269,1782,474,474000,378,378000,852000,3051,55.63,44.37,41.59,58.41,,0,0,0,1,0
Australia,6/15/2022,90+,90,999,1251,1003,134,134000,69,69000,203000,2254,66.01,33.99,55.5,44.5,,0,0,0,1,0
Australia,,,,,3628,4811,12801,12801000,12698,12698000,25499000,8439,50.2,49.8,42.99,57.01,,0,0,0,0,1
Austria,6/15/2022,0-4,0,4,0,2,218,218000,230,230000,448000,2,48.66,51.34,0,100,,1,0,0,0,0
Austria,6/15/2022,14-May,5,14,2,3,411,411000,439,439000,850000,5,48.35,51.65,40,60,,1,0,0,0,0
Austria,6/15/2022,15-24,15,24,2,13,464,464000,497,497000,961000,15,48.28,51.72,13.33,86.67,,1,0,0,0,0
Austria,6/15/2022,25-34,25,34,19,26,599,599000,628,628000,1227000,45,48.82,51.18,42.22,57.78,,0,1,0,0,0
Austria,6/15/2022,35-44,35,44,33,65,590,590000,599,599000,1189000,98,49.62,50.38,33.67,66.33,,0,1,0,0,0
Austria,6/15/2022,45-54,45,54,137,261,663,663000,663,663000,1326000,398,50,50,34.42,65.58,,0,0,0,0,0
Austria,6/15/2022,55-64,55,64,408,916,717,717000,704,704000,1421000,1324,50.46,49.54,30.82,69.18,,0,0,1,0,0
Austria,6/15/2022,65-74,65,74,1033,1983,457,457000,401,401000,858000,3016,53.26,46.74,34.25,65.75,,0,0,1,0,0
Austria,6/15/2022,75-84,75,84,2754,3860,368,368000,276,276000,644000,6614,57.14,42.86,41.64,58.36,,0,0,0,0,0
Austria,6/15/2022,85+,85,999,5019,3446,152,152000,76,76000,228000,8465,66.67,33.33,59.29,40.71,,0,0,0,1,0
Austria,,,,,9407,10575,4639,4639000,4513,4513000,9152000,19982,50.69,49.31,47.08,52.92,,0,0,0,0,1
Bahamas,2/21/2022,0-4,0,4,3,2,13,13000,14,14000,27000,5,48.15,51.85,60,40,,1,0,0,0,0
Bahamas,2/21/2022,9-May,5,9,0,1,13,13000,14,14000,27000,1,48.15,51.85,0,100,,1,0,0,0,0
Bahamas,2/21/2022,14-Oct,10,14,2,0,16,16000,16,16000,32000,2,50,50,100,0,,1,0,0,0,0
Bahamas,2/21/2022,15-19,15,19,0,2,16,16000,16,16000,32000,2,50,50,0,100,,1,0,0,0,0
Bahamas,2/21/2022,20-24,20,24,5,3,17,17000,17,17000,34000,8,50,50,62.5,37.5,,0,1,0,0,0
Bahamas,2/21/2022,25-29,25,29,2,6,17,17000,17,17000,34000,8,50,50,25,75,,0,1,0,0,0
Bahamas,2/21/2022,30-34,30,34,17,5,14,14000,14,14000,28000,22,50,50,77.27,22.73,,0,1,0,0,0
Bahamas,2/21/2022,35-39,35,39,18,19,14,14000,13,13000,27000,37,51.85,48.15,48.65,51.35,,0,1,0,0,0
