,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
0,Afghanistan,1,0-30,16858000.0,132.0,8658000.0,78.0,8657922.0,8200000.0,54.0,8199946.0,1.3680347013680347,0.9669591423059841,1.9354684828605773
1,Afghanistan,2,30+,10982000.0,3817.0,5637000.0,2496.0,5634504.0,5345000.0,1321.0,5343679.0,1.791601585555156,1.6760387307187952,1.915132498153644
2,Albania,1,0-30,1168000.0,9.0,614000.0,2.0,613998.0,554000.0,7.0,553993.0,0.2577943229409027,0.053552911415995365,1.240976656232896
3,Albania,2,30+,1708000.0,2014.0,849000.0,1318.0,847682.0,859000.0,696.0,858304.0,1.9159829684686516,1.7479463103933695,2.1001736229734664
4,Argentina,1,0-30,21581000.0,1233.0,10961000.0,631.0,10960369.0,10620000.0,602.0,10619398.0,1.0155637883756392,0.9082643086707496,1.1355392900655714
5,Argentina,2,30+,23615000.0,118194.0,11087000.0,68120.0,11018880.0,12528000.0,50074.0,12477926.0,1.5371988520757656,1.519608460226014,1.5549928634061443
6,Aruba,1,0-30,42000.0,0.0,21000.0,0.0,21000.0,21000.0,0.0,21000.0,,,
7,Aruba,2,30+,67000.0,151.0,31000.0,83.0,30917.0,36000.0,68.0,35932.0,1.417457305502846,1.029047635824034,1.9524705591636546
8,Australia,1,0-30,9815000.0,40.0,5023000.0,22.0,5022978.0,4792000.0,18.0,4791982.0,1.166014112858628,0.6254171306724836,2.1738913833773426
9,Australia,2,30+,15684000.0,8399.0,7675000.0,4789.0,7670211.0,8009000.0,3610.0,8005390.0,1.3843233508080162,1.325807631170485,1.4454217146875898
10,Austria,1,0-30,2259000.0,22.0,1166000.0,18.0,1165982.0,1093000.0,4.0,1092996.0,4.218267581475129,1.4276031165782632,12.464095365365193
11,Austria,2,30+,6893000.0,19960.0,3347000.0,10557.0,3336443.0,3546000.0,9403.0,3536597.0,1.189479890928529,1.1569225170006463,1.2229534736616718
12,Bahamas,1,0-30,186000.0,26.0,94000.0,14.0,93986.0,92000.0,12.0,91988.0,1.1418439716312059,0.5281569310392588,2.468598969221161
13,Bahamas,2,30+,207000.0,893.0,98000.0,448.0,97552.0,109000.0,445.0,108555.0,1.1197431781701446,0.982362271825934,1.2763364606094552
14,Bahrain,1,0-30,707000.0,10.0,408000.0,3.0,407997.0,299000.0,7.0,298993.0,0.31407563025210083,0.08121610392872511,1.214580566494835
15,Bahrain,2,30+,994000.0,1435.0,694000.0,917.0,693083.0,300000.0,518.0,299482.0,0.7652465145260535,0.6871511068032121,0.8522175431232762
16,Bangladesh,1,0-30,75036000.0,10989.0,38372000.0,5994.0,38366006.0,36664000.0,4995.0,36659005.0,1.146586052329824,1.1043331660163624,1.1904555761370759
17,Bangladesh,2,30+,90395000.0,987933.0,44879000.0,689255.0,44189745.0,45516000.0,298678.0,45217322.0,2.3404405181994186,2.330459233231096,2.3504645527031967
18,Barbados,1,0-30,105000.0,0.0,54000.0,0.0,54000.0,51000.0,0.0,51000.0,,,
19,Barbados,2,30+,183000.0,48.0,85000.0,21.0,84979.0,98000.0,27.0,97973.0,0.8967320261437908,0.5070222997331859,1.585982169098106
20,Belgium,1,0-30,3272000.0,16.0,1684000.0,7.0,1683993.0,1588000.0,9.0,1587991.0,0.7334389020849829,0.27314410714717713,1.9694095864267465
