,Country,Bin,Age Range,Total Infections,Total Deaths,Male Infections,Male Deaths,Male Survivors,Female Infections,Female Deaths,Female Survivors,Male Risk Ratio,RR Lower CI,RR Upper CI
0,Afghanistan,1,0-19,9822000,25,5030000,12.0,5029988.0,4792000,13.0,4791987.0,0.87940051995718,0.40126156317600686,1.927284707710076
1,Afghanistan,2,20-49,14533000,736,7540000,499.0,7539501.0,6993000,237.0,6992763.0,1.9527398180169895,1.6729944652224062,2.279262051451021
2,Afghanistan,3,50-79,3379000,2772,1679000,1758.0,1677242.0,1700000,1014.0,1698986.0,1.7554123157275217,1.6248947124263908,1.896413579687523
3,Afghanistan,4,80+,106000,416,46000,305.0,45695.0,60000,111.0,59889.0,3.5840188014101058,2.8850977019009227,4.452255034690068
4,Albania,2,20-49,1185000,102,615000,58.0,614942.0,570000,44.0,569956.0,1.221729490022173,0.8256681642203709,1.8077758250485934
5,Albania,3,50-79,910000,1560,441000,1029.0,439971.0,469000,531.0,468469.0,2.060891399874451,1.8561253806703117,2.2882470151572605
6,Albania,4,80+,85000,361,39000,233.0,38767.0,46000,128.0,45872.0,2.1470352564102564,1.73129845884777,2.6626029548577
7,Argentina,1,0-19,14583000,359,7423000,183.0,7422817.0,7160000,176.0,7159824.0,1.0029331439138796,0.8154643038336254,1.233499598243851
8,Argentina,2,20-49,19167000,10408,9543000,6421.0,9536579.0,9624000,3987.0,9620013.0,1.6241536959910656,1.561235000045015,1.6896080526796933
9,Argentina,3,50-79,10254000,73170,4694000,45693.0,4648307.0,5560000,27477.0,5532523.0,1.9697543372022548,1.940598725208062,1.999347983963612
10,Argentina,4,80+,1192000,35490,388000,16454.0,371546.0,804000,19036.0,784964.0,1.791101179967203,1.7547422930003627,1.8282134360565296
11,Aruba,2,20-49,42000,9,20000,3.0,19997.0,22000,6.0,21994.0,0.5499999999999999,0.13756840532436662,2.1989060590383978
12,Aruba,3,50-79,38000,99,18000,56.0,17944.0,20000,43.0,19957.0,1.4470284237726097,0.9729783179374142,2.1520430831846453
13,Aruba,4,80+,3000,43,1000,24.0,976.0,2000,19.0,1981.0,2.5263157894736845,1.3905384749018221,4.589784161559903
14,Australia,1,0-19,6439000,15,3302000,8.0,3301992.0,3137000,7.0,3136993.0,1.0857488967725188,0.39371608777773487,2.9941643317055417
15,Australia,2,20-49,10400000,232,5224000,144.0,5223856.0,5176000,88.0,5175912.0,1.6213281358763747,1.24364429473455,2.1137112398730094
16,Australia,3,50-79,7605000,2887,3725000,1874.0,3723126.0,3880000,1013.0,3878987.0,1.9269284535932207,1.7851561553045205,2.0799599263257567
17,Australia,4,80+,1055000,5305,447000,2785.0,444215.0,608000,2520.0,605480.0,1.5032136642874896,1.4245508506793867,1.5862201896288675
18,Bahamas,1,0-19,118000,10,60000,5.0,59995.0,58000,5.0,57995.0,0.9666666666666667,0.27986110504842004,3.3389578887097295
19,Bahamas,2,20-49,179000,194,88000,98.0,87902.0,91000,96.0,90904.0,1.05563446969697,0.7967932947793235,1.398561133626297
20,Bahamas,3,50-79,91000,590,42000,303.0,41697.0,49000,287.0,48713.0,1.2317073170731707,1.0486304675476492,1.4467469350566546
21,Bahamas,4,80+,5000,125,2000,56.0,1944.0,3000,69.0,2931.0,1.2173913043478262,0.8596356508671872,1.7240345795415077
22,Bahrain,1,0-19,401000,3,209000,1.0,208999.0,192000,2.0,191998.0,0.45933014354066987,0.041648996165517656,5.065768690477393
23,Bahrain,2,20-49,1070000,297,754000,209.0,753791.0,316000,88.0,315912.0,0.9953580901856764,0.7759345059621886,1.2768316398940454
24,Bahrain,3,50-79,224000,934,136000,585.0,135415.0,88000,349.0,87651.0,1.0846114950278105,0.9502076596448604,1.2380263231998512
25,Bahrain,4,80+,6000,211,3000,125.0,2875.0,3000,86.0,2914.0,1.4534883720930232,1.1096834502394781,1.9038118008822293
26,Barbados,3,50-79,93000,31,43000,15.0,42985.0,50000,16.0,49984.0,1.0901162790697674,0.5390122102017347,2.2046875365738985
27,Barbados,4,80+,13000,16,5000,6.0,4994.0,8000,10.0,7990.0,0.9599999999999999,0.3491182176225554,2.6397934953837776
28,Brazil,1,0-19,60237000,1749,30746000,925.0,30745075.0,29491000,824.0,29490176.0,1.0767512815622398,0.9802578861603127,1.1827431727045723
29,Brazil,2,20-49,98045000,35266,48813000,21257.0,48791743.0,49232000,14009.0,49217991.0,1.5304065520964154,1.4981149932336852,1.5633941488324028
30,Brazil,3,50-79,50118000,179172,23328000,107006.0,23220994.0,26790000,72166.0,26717834.0,1.7028276870005585,1.6868543856334837,1.718952244076921
31,Brazil,4,80+,4159000,71865,1549000,37348.0,1511652.0,2610000,34517.0,2575483.0,1.823154178591427,1.7969120577035216,1.8497795396639274
