country,deathsF,deathsM,populationin1000sF,populationin1000sM,Total infection,Total Death,% female infection,% male infection,% female death,% male death,Num female infection,Num female death,Num male infection,Num male death
Afghanistan,1375,2574,13545,14295,27840000,3949,48.65,51.35,34.82,65.18,13544160,1375,14295840,2574
Albania,703,1320,1413,1463,2876000,2023,49.13,50.87,34.75,65.25,1412979,703,1463021,1320
Argentina,50676,68751,23148,22048,45196000,119229,51.22,48.78,42.5,57.66,23149391,50672,22046609,68747
Aruba,68,83,57,52,109000,151,52.29,47.71,45.03,54.97,56996,68,52004,83
Australia,3628,4811,12801,12698,25499000,8439,50.2,49.8,42.99,57.01,12800498,3628,12698502,4811
Austria,9407,10575,4639,4513,9152000,19982,50.69,49.31,47.08,52.92,4639149,9408,4512851,10574
Bahamas,457,462,201,192,393000,911,51.15,48.85,50.16,50.71,201020,457,191981,462
Bahrain,525,920,599,1102,2112000,2356,28.36,52.18,22.28,39.05,598963,525,1102042,920
Bangladesh,303673,695249,82180,83251,167773000,1001718,48.98,49.62,30.32,69.41,82175215,303721,83248963,695292
Barbados,27,21,149,139,273000,48,54.58,50.92,56.25,43.75,149003,27,139012,21
Belgium,15106,16428,5845,5745,11590000,31534,50.43,49.57,47.9,52.1,5844837,15105,5745163,16429
Bosnia and Herzegovina,3675,5076,1674,1608,3282000,8751,51.01,48.99,42,58,1674148,3675,1607852,5076
Brazil,121516,166536,108123,104436,212559000,288052,50.87,49.13,42.19,57.81,108128763,121529,104430237,166523
Brunei Darussalam,38,55,210,228,438000,93,47.95,52.05,40.86,59.14,210021,38,227979,55
Cabo Verde,47,65,247,249,496000,112,49.8,50.2,41.96,58.04,247008,47,248992,65
Cambodia,46,59,8439,8048,16487000,105,51.19,48.81,43.81,56.19,8439695,46,8047305,59
Cameroon,33,58,13269,13278,26547000,91,49.98,50.02,36.26,63.74,13268191,33,13278809,58
Canada,6303,10184,18010,18070,36080000,16615,49.92,50.08,37.94,61.29,18011136,6304,18068864,10183
Chad,24,90,7986,7960,15946000,114,50.08,49.92,21.05,78.95,7985757,24,7960243,90
chile,21341,26911,9692,9424,19116000,48252,50.7,49.3,44.23,55.77,9691812,21342,9424188,26910
Colombia,54880,85014,25899,24985,50884000,139894,50.9,49.1,39.23,60.77,25899956,54880,24984044,85014
Costa Rica,3176,4892,2551,2547,5098000,8068,50.04,49.96,39.37,60.63,2551039,3176,2546961,4892
Croatia,2236,2613,2125,1979,4104000,4849,51.78,48.22,46.11,53.89,2125051,2236,1978949,2613
Cuba,816,1090,5702,5627,11329000,1906,50.33,49.67,42.81,57.19,5701886,816,5627114,1090
Curaçao,119,144,86,75,161000,263,53.42,46.58,45.25,54.75,86006,119,74994,144
Cyprus,407,645,601,603,1204000,1052,49.92,50.08,38.69,61.31,601037,407,602963,645
Czech Republic,17972,23295,5438,5272,10710000,41267,50.77,49.23,43.55,56.45,5437467,17972,5272533,23295
